date,entity_id,brand,category,marker_type,marker_label,change_point,stat_event_flag,top_peak_flag,bottom_peak_flag,event_severity_score,combined_marker_severity,shift_strength,price_index,demand_index,sentiment_index,search_index,ad_index,trend_residual,trend_residual_z,event_explanation,narrative
2025-01-01,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,0.8460369639981989,0.8460369639981989,0.0,65.2,51.835,0.655,65.6,57.0,0.0,0.0,sentiment dip + high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-02,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,0.9414505070798858,0.9414505070798858,0.0,65.49,51.96,0.655,65.6,49.5,0.0625,0.8660254037844264,sentiment dip + high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-03,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.0276342108651317,1.7847815281697936,0.0,65.53,49.83,0.651,62.2,55.3,-1.6540000000000035,-1.7847815281697936,sentiment dip + high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-04,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.5279504691803327,1.5279504691803327,0.0,65.31,45.83,0.642,56.5,45.3,-3.7521428571428643,-1.3752358653828574,sentiment dip + high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-05,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.187587102647358,1.187587102647358,0.0,65.55,47.92999999999999,0.654,56.2,52.4,-1.0942857142857179,-0.4230775582584312,sentiment dip + high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-06,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.5575946250380348,1.5575946250380348,0.0,65.52,45.769999999999996,0.658,53.4,40.4,-1.7942857142857065,-0.9884866175147196,sentiment dip + high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-08,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.873028865016039,1.873028865016039,-0.10053571428570507,65.55,65.27000000000001,0.663,97.3,69.4,12.7457142857143,1.6798221985880337,demand jump + high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-09,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.887279927968026,1.887279927968026,-0.19856825396824718,64.86,65.60999999999999,0.674,98.5,77.1,8.08285714285713,0.9214277264281938,ad surge + demand jump + high search intent,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-10,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.9488921499860217,1.9488921499860217,-0.12014285714285222,65.39,66.14,0.672,100.0,74.0,2.8685714285714212,0.7256051183188806,ad surge + demand jump + high search intent,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-11,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.5118645669990185,2.1985039504992394,0.07583896103896137,65.57,61.93000000000001,0.688,89.5,71.3,-3.2085714285714175,-2.1985039504992394,ad surge + high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-12,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.4550270104307,1.4550270104307,0.335961904761902,65.18,62.975,0.684,93.3,66.2,-1.3585714285714303,-0.6911226943311027,demand jump + high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-13,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.494997775168133,1.494997775168133,0.5923956043955982,65.52,62.169999999999995,0.69,91.6,70.6,-1.295714285714297,-0.689624127717924,ad surge + high search intent,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-14,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.295875535331184,1.295875535331184,0.7638857142857134,65.11,62.915,0.713,91.7,68.3,0.47714285714285865,0.9659333413056336,demand jump + high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-30,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.3714202602053738,1.3714202602053738,-0.4367571428571395,57.73,49.589999999999996,0.751,58.4,46.9,-0.3228571428571385,-0.6606271756780143,high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-31,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.193012808522221,1.193012808522221,-0.24874285714285094,58.56,49.035,0.742,60.2,49.1,-0.6942857142857122,-1.1824671683329027,high search intent,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-02-01,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.276684941588765,1.276684941588765,-0.19392857142856457,58.2,48.925000000000004,0.74,57.7,47.2,-0.6842857142857071,-0.9877291241567101,high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-02-02,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,0.9178882334092694,2.2419416616192884,-0.10488571428571447,58.14,54.24,0.738,65.0,56.2,4.33428571428572,2.2419416616192884,high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-02-03,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.235455444273613,1.235455444273613,-0.1408285714285782,58.05,50.215,0.752,63.2,49.5,-0.4442857142857122,-0.1785914872851224,high search intent,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-02-04,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.1469883331016695,1.6081632753429744,-0.16895714285714547,58.05,57.14999999999999,0.743,72.6,54.7,5.162857142857142,1.6081632753429744,high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-02-05,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.1606968352472367,1.1606968352472367,-0.10580000000000922,58.25,58.14,0.731,78.0,57.3,3.6614285714285657,1.11977592276106,high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-02-06,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.7412713220562204,1.7412713220562204,-0.09585714285714175,58.01,61.785,0.746,86.8,66.5,5.671428571428564,1.3120213657514916,high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-02-15,101,SoundWave,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.1619908791726565,1.769053436368905,-0.20482857142857114,63.68,45.76499999999999,0.76,51.6,39.9,-2.3014285714285805,-1.769053436368905,high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-06,102,EchoTech,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.9082049325116652,1.9082049325116652,0.0,26.88,31.03,0.441,33.7,27.2,5.715714285714288,1.81617089962036,ad surge + demand jump,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-23,102,EchoTech,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.6744094298662242,2.1995421122943632,-0.9442428571428607,23.37,30.665,0.426,34.4,29.9,1.8371428571428616,2.1995421122943632,ad surge + demand jump,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-24,102,EchoTech,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.1081541203033858,1.1081541203033858,-1.1125857142857214,23.54,28.129999999999995,0.393,30.8,26.9,-0.9128571428571419,-0.8080495242724826,ad surge,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-03-22,102,EchoTech,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.61277179308514,1.8079413128570192,0.24245714285714115,23.87,14.979999999999999,0.334,4.1,5.9,-3.8714285714285754,-1.8079413128570192,Abnormal movement detected relative to recent trend and signal baseline.,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-08,103,PureAudio,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.896743252259276,2.1361297170712428,-0.10053571428570507,132.08,30.045,0.636,19.1,26.2,-2.9257142857142853,-2.1361297170712428,review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-09,103,PureAudio,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.571410164424757,1.571410164424757,-0.19856825396824718,131.46,33.09,0.62,26.0,32.8,0.844285714285725,0.5612624828350483,sentiment dip + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-02-23,103,PureAudio,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.383249470043955,1.383249470043955,0.6244428571428529,106.37,53.905,0.778,69.6,49.7,6.60857142857143,1.2044959976696457,demand jump + high search intent + review velocity,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-02-24,103,PureAudio,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.617878482453754,1.617878482453754,0.5728285714285732,106.77,55.2,0.778,70.4,56.6,3.6400000000000077,1.3764315270410756,ad surge + demand jump + high search intent,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-02-25,103,PureAudio,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.4472132134899471,1.4472132134899471,0.5907428571428568,106.18,54.220000000000006,0.769,71.4,52.5,1.0785714285714363,0.45712004700910025,ad surge + demand jump + high search intent,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-02-26,103,PureAudio,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.4024723325485169,1.4024723325485169,0.571871428571427,106.33,54.065,0.762,71.6,52.1,-0.3228571428571527,-0.5669043952692493,ad surge + demand jump + high search intent,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-08,104,TechGear,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.4087466915233773,1.8197502438236046,-0.10053571428570507,57.07,58.699999999999996,0.613,91.3,59.4,2.491428571428571,1.8197502438236046,ad surge + demand jump + high search intent,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-09,104,TechGear,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.3198782003818796,1.3198782003818796,-0.19856825396824718,56.69,56.00499999999999,0.598,84.3,59.4,-0.8957142857142983,-0.6653987598150924,ad surge + high search intent,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-03-25,104,TechGear,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.234403677712844,1.4356458741420668,0.5280000000000058,57.2,49.625,0.686,65.6,46.9,-2.6585714285714275,-1.4356458741420668,sentiment spike + high search intent,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-01,105,ZenAudio,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,2.185824689035618,2.185824689035618,0.0,21.57,25.450000000000003,0.564,22.2,10.6,0.0,0.0,sentiment spike,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-02,105,ZenAudio,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,2.5859021096025487,2.5859021096025487,0.0,21.53,27.529999999999998,0.583,26.2,13.5,1.0399999999999956,0.8660254037844374,sentiment spike,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-03,105,ZenAudio,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,2.3766508442753973,2.3766508442753973,0.0,21.56,25.77,0.593,22.1,10.2,-0.575999999999997,-0.5290686221195181,sentiment spike,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-04,105,ZenAudio,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.7208350292747863,1.7208350292747863,0.0,21.76,21.560000000000002,0.575,11.3,9.0,-3.4642857142857153,-1.379234755079568,sentiment spike,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-05,105,ZenAudio,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,1.488553129924486,1.5169504779114593,0.0,22.26,18.99,0.581,5.5,2.6,-5.111428571428576,-1.5169504779114593,sentiment spike,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-08,105,ZenAudio,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,0.6715817868354945,0.6715817868354945,-0.10053571428570507,23.04,18.185,0.563,2.0,8.6,0.08285714285714008,0.12902813387569417,sentiment spike,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-09,105,ZenAudio,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,0.8529902123145398,0.8529902123145398,-0.19856825396824718,23.11,17.735,0.563,2.0,5.6,-0.07285714285714207,-0.2711797466881411,sentiment spike,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
2025-01-10,105,ZenAudio,earbuds,stat_event,Statistical anomaly detected,0,1,0,0,0.955104065671782,1.522493476817891,-0.12014285714285222,23.06,17.189999999999998,0.57,2.0,3.2,-0.5442857142857136,-1.522493476817891,sentiment spike,"The engine detected an abnormal movement compared with the recent baseline, indicating a likely event-driven change."
